title,text,subject, date
Risa Hontiveros not affiliated with CPP-NPA,"Hontiveros had already denied any connection with the rebel group before, proclaiming that she “will not hesitate to speak against the violations of the NPA.”

In 2021, the senator condemned the group over the killing of Nolven and Keith Absalon in Masbate, calling on the rebels to take full responsibility and to “be prosecuted to the fullest extent of the law.”

Several claims linking Hontiveros – a vocal opposition leader during former president Rodrigo Duterte’s administration – to the NPA have circulated before. Rappler, VERA Files, and Tsek PH have already published fact-checks disputing such rumors.

The Senate biography of Hontiveros does not show that she worked with the NPA in the past. No reports also indicate that the senator has recently supported or protected the NPA and its members from enforcement of the law.",News,"September 10, 2023"
No Marcos gold account in Indonesia,"The alleged certificate of entitlement briefly shown in the video is fake, and no reputable sources have confirmed the existence of a supposed Marcos gold account in Indonesia. The video also provides no additional proof, only showing clips of officials arriving for the opening of the ASEAN Summit.  ",News,"September 8, 2023"
Marcos wants price cap on rice," During his 2022 campaign, Marcos vowed to lower the price of the food staple to P20 to P30 per kilo by recommending a price cap. In his first two years as president, he also stuck to the promise and said the country was getting closer to achieving this goal.",News,"April 17, 2022"
No Marcos order to close down UP Diliman,"Neither Marcos nor Duterte has issued any order to close down UP Diliman, the main campus of the UP System. The state university remains open and will formally begin its academic year on September 12.  No announcement of the supposed closure has been made by the university either. The country’s national university will remain open next year as it is set to receive allocations from the proposed 2024 national budget. 

Both Republic Act 10391 and Republic Act 9500 ensure that the university will receive an appropriation in the annual national budget through the General Appropriations Act (GAA). The former also states that all state universities, state colleges, and local universities and colleges will receive funding for free higher education programs in the annual GAA. 

Based on the 2024 National Expenditures Program, the whole UP System, which includes the Diliman campus, has a proposed P22.587 billion budget. ",News,"September 1, 2023"
No Iran-PH alliance vs China,"The visit of Iranian Ambassador Yousef Esmaeilzadeh focused on exploring potential areas of cooperation, such as agriculture, trade and investment, technology, tourism, and people-to-people exchanges.There are no reports that the envoy’s visit was about forming an alliance against China over the West Philippine Sea situation. Esmaeilzadeh presented his credentials to President Ferdinand Marcos Jr. on August 17, during which the two expressed interest in increasing trade relations.
Esmaeilzadeh said Iran is looking to foster economic partnerships with members of the Association of Southeast Asian Nations like the Philippines, GMA News reported. He also proposed organizing a barter agreement, with Iran sending the Philippines fertilizer and importing its tropical fruits. 
For his part, Marcos said the Philippines has much to learn from its allies, and said the country is “continuing to foster new partnerships between what we have come to call non-traditional partners.” Iran has previously expressed interest in forming stronger defense ties between the two countries, focusing on disaster management and response, counter-terrorism, and a self-reliant defense posture. There was no mention of taking direct action against China.
The Philippines and Iran established diplomatic ties on January 22, 1964. The two countries retain amicable diplomatic relations amid Manila’s alliance with the US and Tehran’s tense relations with the Western superpower, a study on Iran-Philippine foreign relations noted. 
",News,"August 26, 2023"
DepEd insists Marcos dictatorship not being erased from new curriculum,"The Department of Education (DepEd) insisted on Wednesday, September 27, that a new curriculum policy on the dictatorship of the late president Ferdinand E. Marcos did not seek to revise history.

In the DepEd’s hearing for its proposed P758.6-billion budget for 2024 at the House plenary on Wednesday, Kabataan Representative Raoul Manuel and Albay 1st District Representative Edcel Lagman scrutinized the DepEd’s move to remove the name of Marcos in the term “Diktadurang Marcos” in the Grade 6 Araling Panlipunan (AP) program of the new “Matatag” curriculum.

Lagman also asked if the DepEd has been able to comply with a years-old memorandum of agreement (MOA) with the Commission on Human Rights (CHR) to include the atrocities of Martial Law in its basic education curriculum.

Earlier in September, the DepEd confirmed the existence of a memo directing the change of “Diktadurang Marcos” to just “Diktadura” found in the new Grade 6 Matatag curriculum",News,"September 27, 2023"
DSWD has no ‘Pantawid Gutom Program’,"The department’s program for hunger and poverty alleviation is called Walang Gutom 2027, a food stamp program that gives food credits worth P3,000 to households identified as food poor. The credits can be used to purchase food from DSWD-accredited partner retailers. The program will be rolled out progressively, starting with 3,000 families in the pilot run this year. The program will roll out to 300,000 households by the first quarter of 2024, followed by an additional 300,000 households, until it reaches the government’s one million target.The DSWD also runs the poverty alleviation scheme, Pantawid Pamilyang Pilipino Program (4Ps). Patterned after a conditional cash transfer scheme, 4Ps provides cash grants to beneficiaries who meet certain conditions. Families identified as among the poorest in the country are eligible for cash grants if they have children below 18 years old or if they have a pregnant woman at the time of registration.

Beneficiaries must also comply with the following conditions to receive cash grants: 

Pregnant women must get pre- and post-natal care, and be attended by a skilled/trained professional during childbirth
Children 0-5 years old must receive regular health and nutrition services, including check-ups and vaccination
Children 3-4 years old must attend daycare or preschool classes at least 85% of the time
Children 5-18 years old must attend elementary or secondary school classes at least 85% of the time
Children 1-14 years old must avail of deworming pills twice a year
Parents or guardians must attend family development sessions ",News,"August 23, 2023"
Gregorio Catapang Jr. is still BuCor chief,"Catapang remains the current head of the Bureau of Corrections. No official statements were released on Marcos’ Facebook or Twitter accounts, on Radio Television Malacañang, the Office of the President, or the Bureau of Corrections about the supposed order to replace Catapang with Eleazar. Instead, the content of the video comprised mainly of comments from social media users urging Marcos to replace Catapang given the recent controversies that have plagued BuCor.Catapang remains the current head of the Bureau of Corrections. No official statements were released on Marcos’ Facebook or Twitter accounts, on Radio Television Malacañang, the Office of the President, or the Bureau of Corrections about the supposed order to replace Catapang with Eleazar. Instead, the content of the video comprised mainly of comments from social media users urging Marcos to replace Catapang given the recent controversies that have plagued BuCor.

BuCor issues: The video was uploaded several days after a House inquiry on the alleged corrupt activities inside the New Bilibid Prison, which prompted a lawmaker to call for Catapang’s resignation.

Several months after assuming the BuCor chief post, Catapang faced a number of controversies inside the bureau, with lawmakers questioning the continued access to the internet and phones by persons deprived of liberty and the disappearance of Michael Cataroja, who was reported missing from the maximum security compound last July and recently rearrested.

Following the replacement of numerous New Bilibid Prison personnel as part of prison reform measures, Catapang said that there were still individuals causing issues who have managed to find ways to evade his supervision.“The challenge here isn’t limited to the inmates alone, but also involves some of my own staff who I inherited and who continue to exhibit stubborn behavior,” Catapang said during an interview with CNN Philippines’ The Source.During the August 10 House probe, Catapang said he was willing to resign but asked for more time to address the problems he inherited. “I’ve inherited a broken system, a broken organization, and it will really take a while to fix this broken BuCor, but I’m not giving up,” he added",News,"August 23, 2023"
No promise from Germany to defend PH against China,"Neither Germany nor the European Union (EU) has said such a thing. The video does not provide evidence to support its claim. Instead, it showed clips of Marcos interacting with the new German ambassador to the Philippines, Andreas Michael Pfaffernoschke, and European Commission President Ursula von der Leyen.The German envoy expressed support for relaunching the Philippines-EU free trade agreement negotiations, stressing the importance of a strong economic relationship between the two countries.“That was… what we in Germany really pushed for. We pushed the information to do this and our business people here are very keen on really exploring new possibilities and new ideas and new business opportunities both ways, of course, not just for the German industry here, but also for the Philippine industry in Germany,” Pfaffernoschke said.",News,"August 22, 2023"
House serves expulsion notice to Arnie Teves,"The House of Representatives has served the expulsion notice to former Negros Oriental Rep. Arnolfo Teves Jr., House Secretary General Reginald Velasco said Thursday.

Velasco made the announcement a day after the House plenary, via a 265-0-3 vote, moved to expel Teves from its ranks due to disorderly conduct and violation of Code of Conduct amid application for political asylum, continuous absence and posting a video of himself on social media wearing boxer shorts.

“We have just released the letter to Mr. Teves Jr., it was received by his office, informing him, thru his office, about the decision of the plenary to expel him as a member of the House of Representatives,” Velasco said.

“This was served in his office a few minutes ago. This is the implementation of the decision of the plenary,” he added.

Prior to his expulsion, Teves had been suspended for 60 days without pay twice.

“All the staff [members] of the members of [the House of Representatives] are co-terminus with the term of the congressman/woman, so they will have to vacate the office, and the office will be taken over by the caretaker,” Velasco pointed out.

Velasco, however, said the House leadership has yet to decide on who will serve as the caretaker of Teves’ district.

“We are still awaiting the decision of the House leadership on who will be the caretaker of the district of Arnolfo Teves,”  Velasco said.
Teves’ camp had described the decision as “a dark day for the Rule of Law.”
“The proceedings before the House Committee on Ethics and Privileges are nothing but that of a kangaroo court,"" Teves’ lawyer, Ferdinand Topacio, said in a statement on Wednesday.
“From the start of the proceedings, it bore all the hallmarks of an inquisition: the Committee was the motu proprio Complainant, making it both the accuser and the judge; Rep. Teves was never allowed to participate in the proceedings by himself, but only through letters of his counsel, who were never even allowed to present; the hearings, although impressed with public interest, was kept secret, like a medieval Court of the Star Chamber; and the final recommendation shows that there was never a bona fide intention to consider the evidence in favor of Mr. Teves.”",News,"August 17, 2023"
Sen. Tulfo slams DMW for giving 'false hope' to unpaid Saudi OFWs,"Government agencies on Thursday gave different statements on how Saudi Arabia will help overseas Filipinos workers who lost their jobs after several companies declared bankruptcy as they were told not to give ""false hopes"" to those affected.
The Department of Foreign Affairs (DFA) and the Department of Migrant Workers (DMW) gave different statements on the matter during the hearing of the joint congressional oversight committee on migrant workers. 
During the hearing, Senator Raffy Tulfo pressed DMW officials to give a timeline for the promise of settling the unpaid salaries of laid-off Filipino workers in Saudi Arabia several years ago.",News,"August 17, 2023"
Marcos renews call for peace in Korean Peninsula,"
President Ferdinand ""Bongbong"" Marcos Jr. emphasized the need to enforce new peace efforts in the Korean Peninsula amid North Korea's recent missile tests. 

Marcos raised the concern during the courtesy call of Komeito Party Chief Representative Yamaguchi Natsuo in Malacañang Palace on Wednesday.

""But beyond what is happening…we also have continuing great concern on the actuations, shall we say, of North Korea with Japan, (would) be in very much, what we could call the line of fire. But this is something that although we would say is not top of mind in terms of security and defense,” Marcos said in a press release issued Thursday.

“We consider it a critical issue that, really, we in the region must work together very, very hard to try to alleviate the tensions, to try to make all the proponents of peace in the region be the dominant voice,"" he added.

North Korea has been conducting a series of missile launches and weapons tests in recent months that has put Japan on heightened alert.",News,"August 17, 2023"
Marcos cites Japan’s role in maintaining stability in WPS,"President Ferdinand 'Bongbong' Marcos Jr. welcomes Komeito International affairs Bureau Chief Representative Yamaguchi Natsuo during a courtesy call in Malacañang on Wednesday, August 16, 2023. Marcos acknowledged Japan's role in maintaining peace and security in the West Philippine Sea. KJ ROSALES/PPA POOL
President Ferdinand “Bongbong” Marcos Jr. has acknowledged Japan’s role in maintaining peace and security in the West Philippine Sea.
Marcos mentioned this during the courtesy call of Komeito Party Chief Representative Yamaguchi Natsuo in Malacañang Palace on Wednesday.

The President said the bilateral and multilateral partnerships and agreements that the Philippines and Japan have entered into have given regard to maintaining stability in the resource-rich region.

“I refer to the tripartite trilateral agreements that we have been talking about and have started to implement in terms of joint patrols, in terms of joint exercises for the two maritime forces of Japan and the Philippines,” Marcos said in a press statement issued Thursday.

“In that regard, we must acknowledge the very important contributions that Japan has made to the Philippines in terms of not only training, not only in terms of equipment, but also in the agreements that we have been able to forge between our two countries in terms of cooperation, in terms of preserving the peace and allowing the free conduct of trade and shipping [in] the South China Sea,” he added.

In June, the National Security Advisers of Japan, the United States, and the Philippines started the discussions on conducting combined maritime activities, including joint naval exercises, in Indo-Pacific waters that aims to support freedom of navigation and the broader rules-based order.

Marcos and United States President Joe Biden had looked forward to establishing trilateral modes of cooperation among the Philippines, Japan, and the United States.

The matter was among the topics tackled during the bilateral meeting of Marcos and Biden at the White House in May.",News,"August 16, 2023"
Chiz Escudero likely to vote vs. mandatory ROTC bill: It won’t inculcate patriotism,"Senator Francis “Chiz” Escudero on Wednesday said he is likely to vote against the mandatory Reserve Officers’ Training Corps (ROTC) training as he believed it will not inculcate patriotism to students.“I will most likely vote against it. I took a position against it,” Escudero said in an ANC interview.

“I am against this simply because I don’t see the wisdom behind it that ROTC will inculcate patriotism and love for country. I went through CMT, Citizens' Military Training, and I don’t think I got love for country from that,” he explained.

Further, Escudero also challenged the survey commissioned by Senator Sherwin Gatchalian, who favors the passage of the mandatory ROTC bill, saying the result that 78% are in favor of reviving the military training for students must be reflected on the percentage of college students who take the optional ROTC program under the National Service Training Program (NSTP) Law.“Is that a survey using random sampling? I am using actual hard facts and data which is, of those required to take NSTP, only 18% or on a good year for ROTC 20% take the ROTC option, kung 75% ang may gusto n’yan eh di sana 75% ng 18-24 na college students natin ROTC ang kinuha at pwede naman nilang kuhanin sa ilalim ng NSTP law,” he pointed out.

The proponents of the measure should also show a study that NSTP is not a success, Escudero said.

“If NSTP is not a success and ROTC is part of NSTP then I guess ROTC should be deemed as a failure as well and I should be looking at something totally new,” he went on.

Apart from challenging the need to revive the ROTC program, Escudero likewise questioned the curriculum under the proposed law as its proponents would like to include law enforcement, disaster resiliency, community service, nationalism, and patriotism.


“How will this be divided? ’Yung number of units na lang, 'di na kami magkasundo eh. Sabi nila four hours a week daw pero three units. Basic ‘yun di ba? Kung ilang oras sa isang linggo ‘yun ang bilang ng unit, and you are including this in the curriculum?” he said.

“The student cannot graduate unless he completes this. So if this is going to be two years, so you are talking 12 additional units… that a college student would have to pass and accomplish,” he said.

Escudero, who chairs the Senate committee on higher education, said he “inhibited” from tackling the mandatory ROTC bill but he passed it on to a sub-committee headed by Senator Ronald “Bato” dela Rosa so the latter can sponsor and defend it.

“I inhibited myself, I didn’t stifle it…. I won’t archive it, I won’t stifle it because I have zero-backlog in my committees…to be fair and I told him that I will interpellate and most likely vote against it and that is what I am doing now,” he said.

The bill reviving the mandatory ROTC program is currently being debated in the Senate plenary. It is named as one of the priority measures of the Marcos administration.

No less than Senate President Juan Miguel Zubiri said he will vote in favor of the proposed law but he said the senators agreed to vote on the measure based on conscience.
The mandatory ROTC program was scrapped in 2002 following the passage of Republic Act 9163, an act establishing the NSTP.",News,"August 16, 2023"
Comelec affirms cancellation of An Waray party-list,"The Commission on Elections (Comelec) on Monday affirmed the cancellation of the registration of An Waray party-list.In a 28-page resolution, the Comelec en banc denied the motion for reconsideration filed by the party for utter lack of merit and affirmed the resolution of the Second Division.

“We rule in the negative. We affirm the Second Division’s Resolution cancelling the registration of the An Waray Party-List,” Comelec said.

“Considering that An Waray is entitled to one seat only and that its Second Nominee clearly committed a violation of electoral laws, the cancellation of registration of An Waray Party-list is proper,” it later added.

The Second Division earlier canceled the registration of the An Waray party-list for allowing a second nominee, Isabel Noel, to sit as a member of Congress without the proper authority.This led the party-list to file a motion for reconsideration, arguing that in the party-list system,  the candidate is the organization itself and what is being proclaimed is the party and not its nominee.


They said that a separate proclamation of a nominee is not material nor required for the particular nominee to take an oath and assume office as a member of the House of Representatives.

However, the Comelec en banc said there is uncontroverted substantial evidence showing that the party-list violated electoral laws.",News,"August 14, 2023"
"Senate OKs bill renaming BIR, Agham roads in QC after Miriam Defensor-Santiago","The Senate on Monday approved a bill renaming Agham Road and BIR Road in Quezon City to Senator Miriam Defensor-Santiago Avenue.House Bill 7413 garnered 22 affirmative votes, zero negative votes and zero abstention.

All senators were made co-authors of the measure.

The roadway is currently named Agham Road from North Avenue to Quezon Avenue, which bisects it, and BIR Road from Quezon Avenue to East Avenue.

Under the bill, the Department of Public Works and Highways shall issue the necessary rules, orders, and circulars to implement the provisions of the proposed law within 60 days from its effectivity.The proposed law shall take effect 15 days after its publication in the Official Gazette or in a newspaper of general circulation.
",News,"August 14, 2023"
Zubiri to vote in favor of ‘modified’ ROTC program bill,"Senate President Juan Miguel Zubiri will vote in favor of the bill reinstating the Reserve Officers’ Training Corps program, adding that the upper chamber will legislate a “modified” program that will “suit modern-day training.” In a television interview, Zubiri shared that he also went through the ROTC program and learned a lot from it despite being tagged as “tisoy na anak mayaman (a rich kid with good looks).”“Dumaan din ako sa putik, dumaan din ako sa martsa (I'd experienced mud and marches) and it grounded me and I think I learned a lot from that experience and it made me a better person,” Zubiri said in an ANC interview.

“So if you’re gonna ask me…my personal vote is ‘yes.’ I will vote in favor of ROTC,” he added.

While he was a principal author of the National Service Training Program Law, Zubiri admitted that it has “many loopholes.”",News,"August 14, 2023"
Comelec urges conspiracy raps vs. persons behind nuisance candidates,"Commission on Elections Chairman George Garcia on Monday proposed the filing of conspiracy complaints against those who will coax and fund nuisance candidates into running for office.Garcia said this is on top of criminal charges and perpetual disqualification of nuisance candidates and their sponsors.

He said criminalization, the threat of perpetual disqualification, and a charge of conspiracy in the act of filing the nuisance candidacy are deterrents not just to nuisance candidates but also their principals.

“Meron talagang nagpapabayad because of the similarity of their names. ‘Yun lang po ang makakapigil sa kanila ang perpetual disqualification and criminalization of the act of filing as a nuisance candidate,” Garcia said.

During the Senate investigation into the death of late former Negros Oriental Ruel Degamo, Garcia proposed three to six years imprisonment or P500,000 fine to any person who is found to be a nuisance candidate",News,"August 7, 2023"
Comelec seeks addt’l qualifications to ensure party-list nominees come from marginalized sector,"Commission on Elections chairperson George Garcia on Monday suggested that a Senate panel put additional qualifications to ensure that party-list nominees are true members of marginalized sectors.“Ang puwede po nating gawin sa bill maglalagay tayo ng qualification of being nominees. Dadagdagan po natin ang qualification. Hindi naman po siya violation [of the 1987 Constitution] because that’s not [pertaining to the] qualification of members of the House of Representatives but qualifications of nominees of that particular sector or party,” Garcia said during a Senate hearing.

[What we can do with the bill is to put qualification of being nominees. We will put additional qualifications. It is not a violation since that’s not pertaining to the qualification of members of the House of Representatives but qualifications of nominees of that particular sector or party.]

Garcia  made the proposal as the Senate electoral reforms and people’s participation panel tackled two bills seeking to reform the party-list system in the country.

The bills filed by Senate panel chairperson Imee Marcos and Senator Ronald “Bato” dela Rosa seek to ensure that the nominees of the party-list organizations are members of the sector that they want to represent.",News,"August 7, 2023"
DBM: Marcos’ P1.4-B proposed budget for trips ‘justified’,"Budget Secretary Amenah Pangandaman on Thursday said that the more than P1.4 billion allocation for the Office of the President's local and foreign missions as well as state visits for next year is justified.At a Palace briefing, Pangandaman was asked about the increase in the budget for President Ferdinand ""Bongbong"" Marcos Jr.'s foreign trips for 2024.She said there is nothing wrong with the proposed P1,408,894,000 for these trips, especially if these will be beneficial for the country.

""'Yung travel po ng Presidente, dalawa pong klase 'yan (There are two types of travels of the President). Mayroon pong state visit that they invite you and then meron din po 'yung mga investment roadshow. When I was asked previously po doon sa SONA kung ano po sa tingin ko ang nagawa this administration in such a short time, I think to bring us back to the map of a investment hub and opportunity for other countries,"" Pangandaman said.

""Kami po hindi lang ang Presidente, even the economic managers, if you will notice po, we've been going out of the country to present the Philippines as an investment hub po so I think 'yung expenses po ng travel as long as it will be beneficial and mas may advantage po para sa bansa natin, I think okay lang po 'yun, it's justified (I think the travel expenses as long as it will be beneficial and advantageous for the country, it's okay and it's justified.),"" she added.",News,"August 3, 2023"
EU President Von Der Leyen in Malacañang for bilateral talk with Marcos,"European Commission President Ursula von der Leyen arrived at the Malacañan Palace on Monday to have a bilateral meeting with President Ferdinand ""Bongbong"" Marcos Jr.To recall, Marcos met the EU leader during the EU-ASEAN Commemorative Summit in December 2022 in Brussels, Belgium.

Von Der Leyen's visit is expected to ""give a new impetus to the EU-Philippines bilateral relations and engage in discussions on matters of mutual interest, in particular in the ears of trade, the green and digital transition and security.”


The two leaders will discuss trade, investment, and Global Gateway cooperation and the EU’s Global Gateway Strategy",News,"July 31, 2023"
"Comelec to BSKE bets: Posting materials, shaking hands before Oct. 19 considered premature campaigning","Commission on Elections (Comelec) chairperson George Garcia on Wednesday warned all who will run in the 2023 Barangay and Sangguniang Kabataan Elections (BSKE) against premature campaigning.During the Kapihan sa Manila Bay forum, Garcia said those who will file their certificates of candidacy (COC) from August 28 to September 2 will already be considered as candidates.

“Kaya po ‘pag file ng candidacy, lahat ng posters na meron kayo na naglipana sa lahat ng kalsada, kalye, kanto, dapat tanggalin. Kung hindi, kakasuhan namin kayo, at the same time, tatanggalin namin yan [at] pwede rin kayo ma-disqualify,” he warned.

[Once you filed your candidacy, all your posters plastered around should be removed. If not, we will file a case against you and at the same time, we will remove them and you may even be disqualified.] 

“Dahil kandidato na kayo, applicable pa ang Section 80 ng Omnibus Election Code, ‘yung tinatawag na premature campaigning,” he added.",News,"July 26, 2023"
Comelec to submit draft bill on new Election Code to Congress by year end,"The Commission on Elections (Comelec) is eyeing to submit a 964-page draft bill on the new Omnibus Election Code to Congress before the end of the year, Comelec chairperson George Garcia said Wednesday.Garcia disclosed this during the Kapihan sa Manila Bay forum as he discussed the need to strengthen their authority to arrest those who violate election laws, particularly those who have multiple registrations and those who are involved in vote-buying and vote-selling.

“That’s why the Comelec is proposing the revision of the entire Omnibus Election Code. Meron po kaming 964 pages na,” Garcia said.

He said there are draft bills already in the Senate and the House of Representatives, but the Comelec’s version had incorporated all the proposed revisions to the OEC.",News,"July 26, 2023"
"Band-aid solutions or real ones? Opposition, admin solons differ on SONA substance","Opposition leaders on Monday said that President Ferdinand ""Bongbong"" Marcos, Jr.’s second State of the Nation Address (SONA) lacked substance, but pro-administration lawmakers felt otherwise.“It lacks substance because he even mentioned the lower cost of oil when, in fact, there is an oil price hike tomorrow and oil prices have been increasing since January. He also did not mention about increasing the salary of workers  and the teachers,” House Deputy Minority Leader and ACT Teachers Representative France Castro said.

Pump prices will go up again on Tuesday, the second straight week of increases for gasoline and the third for both diesel and kerosene.

“Puro ampaw na pagmamalaki sa mga ni-rebrand na mga lumang proyekto ng kanyang amang diktador tulad ng paggamit sa 'Maharlika,' 'Kadiwa,' 'Bagong Pilipinas' at iba pa pero kulang naman sa mga mga hakbang sa mga pangunahing kahilingan ng mamamayan tulad ng pagpapababa sa presyo ng mga serbisyo at bilihin, pagtaas ng sahod, at iba pa. Band-aid solutions for these problems won't do,” Castro added, referring to some of the administration's most high-profile projects, including the Maharlika Investment Fund, which the President signed into law last week.

At his SONA, Marcos vowed that the controversial wealth fund will be free of ""political influence.""",News,"July 24, 2023"
Marcos vows efficient PhilHealth for Filipinos,"President Ferdinand ""Bongbong"" Marcos Jr. on Monday said PhilHealth should provide better healthcare services for Filipinos.""We are working towards a more direct and efficient delivery of services, through integrated primary care providers and networks, in partnership with the LGUs and private sector. These shall of course be supported by what is now a better and more efficient PhilHealth,"" Marcos said in his second State of the Nation Address.

The President said all Filipinos would soon be provided with healthcare services given that more than 93 percent of Filipinos are already members of the state insurer.

""Palapit nang palapit na tayo sa hangarin na ang lahat ng Pilipino ay makakakuha ng serbisyong-pangkalusugan. Sa ngayon, mahigit 93 percent na ang kasapi sa PhilHealth,"" Marcos said.


Marcos said that under the Konsulta Package of PhilHealth, at least 21 medicines and 13 laboratory services are being provided for patients for free.",News,"July 24, 2023"
