title ,text,subject,date
"Just in, done already! Pres Marcos gave a position to Cong Marcoleta DOE, goodbye Yellows!",President Marcos Jr. appointed SAGIP Representative Rodante Marcoleta as new secretary of the Department of Energy (DoE). ,News,"July 30, 2023"
Marcos mention of ending foreign loans in Maharlika speech,"President Ferdinand Marcos Jr. said that with the signing of the law creating the Maharlika Investment Fund (MIF), the Philippines would no longer need foreign loans.",News,"July 26, 2023"
"Here it is! PBBM orders the placement of a military base in Spratly Islands, China in shock!",President Ferdinand Marcos Jr. has ordered the establishment of a military base in the Spratly Islands.,News,"July 21, 2023"
Freeing farmers from debt in Marcos’ last will,"The New Agrarian Emancipation Act, which will erase the debts of agrarian reform beneficiaries, was mentioned in the last will of former president Ferdinand E. Marcos.",News,"July 17, 2023"
Marcos orders to surround Chinese ships at Recto Bank,President Ferdinand Marcos Jr. has ordered the Philippine Navy and Philippine Coast Guard to surround Chinese vessels at Recto Bank.,News,"July 12, 2023"
Wow! President Marcos has replaced SOJ [Secretary of Justice] Remulla with Marcoleta! Catapang shocked.,"President Ferdinand Marcos Jr. has appointed SAGIP party-list representative Rodante Marcoleta as the new justice secretary, replacing Jesus Crispin “Boying” Remulla.",News,"July 10, 2023"
Illegal deductions cited in DepEd memo on ACT teachers,"The Department of Education (DepEd) issued a memorandum asking for a list of teachers affiliated with the Alliance of Concerned Teachers (ACT) because the group has been making illegal deductions from teachers’ salaries and funneling this to the Communist Party of the Philippines, New People’s Army, and National Democratic Front (CPP-NPA-NDF).",News,"July 10, 2023"
"De Lima and Diokno will be disbarred next! They deserve to be disbarred more than Sec. Gadon, yellows shamed!", Former senator Leila de Lima and human rights lawyer Jose Manuel “Chel” Diokno will be disbarred. ,News,"July 6, 2023"
"This is where the funds from the Marcos wealth will be deposited, using the various corporations held by the Marcos family to benefit the development of our country.",President Ferdinand Marcos Jr. will deposit his family’s wealth into the Maharlika Investment Fund. ,News,"July 2, 2023"
"BREAKING: One of the last cases of the Marcos Family, finally junked by Supreme Court | PCGG, shamed!","The Supreme Court’s Second Division recently junked an ill-gotten wealth case against former president Ferdinand E. Marcos, former First Lady Imelda Marcos, and their alleged associates.",News,"July 1, 2023"
"Wow, ASEAN-European Union billionaires are supporting President BBM; Marcos account is the secret reason?",Billionaires from Southeast Asia and Europe have allied themselves with President Ferdinand Marcos Jr. because of the family’s hidden wealth.,News,"May 28, 2023"
It has been revealed! Former president Ferdinand E. Marcos founded the Asian Development Bank,Former president Ferdinand E. Marcos was the founder of the Asian Development Bank (ADB). ,News,"May 26, 2023"
Ex-president Aquino is alive and hiding in the US,Former president Benigno Aquino III is still alive and hiding in the United States.,News,"May 23, 2023"
PBBM' 1 Trillion Project will develop the Philippines, President Ferdinand Marcos Jr. allocated P1 trillion for the National Food Security Convergence Program.,News,"May 17, 2023"
This is a huge mess! Pres BBM bought nuclear! Using the Marcos account! China got alarmed!,President Ferdinand Marcos Jr. acquired a nuclear power plant for the Philippines using the $1 billion interest from their family’s account in the United States. ,News,"May 13, 2023"
The World Bank can’t believe it; President Marcos withdrew interest from Marcos gold,President Ferdinand Marcos Jr. claimed interest from his family’s gold deposits in the World Bank.,News,"May 10, 2023"
Ex-president Marcos provide blueprints for Bataan-Cavite Interlink Bridge project,"A video claims that the blueprints for the Bataan-Cavite Interlink Bridge (BCIB) project came from former president Ferdinand E. Marcos.The video says the late dictator’s son, President Ferdinand Marcos Jr., will continue his father’s blueprints for the bridge-tunnel project linking Bataan and Cavite.",News,"May 2, 2023"
Just in! Finally! Good news. Sudden order. PBBM recovered all. Dilawan cried!,"President Ferdinand Marcos Jr. said his administration will take back the ownership of Meralco, an electric distribution company in the Philippines, from its private owner. ",News,"April 13, 2023"
Wow President BBM will already use the Marcos account to advance Philippine technology?,Marcos’ gold account will be used to promote the development of science and technology in the Philippines.,News,"March 14, 2023"
Incredible 9 trillion pesos project of President BBM,President Ferdinand Marcos Jr.’s P9-trillion cash aid for Filipinos is being talked about already.,News,"March 13, 2023"
‘Angat Buhay’ NGO  competing with Marcos administration,"According to a YouTube video, Leni Robredo’s Angat Buhay NGO is still competing with President Ferdinand Marcos Jr.’s administration.",News,"March 7, 2023"
JUST ENTERED! DROP RISA! MARCOLETA REVEALED HONTIVEROS! CAYETANO and REMULLA and DELIMA!,Sen. Risa Hontiveros said in a statement she intends to assist in the escape of former Senator Leila de Lima.,News,"March 6, 2023"
Former president Ferdinand E. Marcos’ last will and testament became a factor in the impeachment of former president Joseph Estrada,"Former president Joseph Estrada was impeached because yellow politicians knew he would fulfill the last will and testament of former president and dictator Ferdinand E. Marcos.

The video with the claim also says that the politicians impeached Estrada using a blank envelope.",News,"January 16, 2023"
"Speech of Imee Marcos about agrarian reform, on her father’s last will","Senator Imee Marcos gave a speech in the Senate about the last will and testament of her father, former president and late dictator Ferdinand E. Marcos. 

The video says that Senator Raffy Tulfo supported Imee’s speech wherein the senator allegedly announced that her father’s last will and testament would be given to Filipinos.",News,"January 9, 2023"
SEVERE ORDERS JUST ENTERED PRES MARCOS HARRY ROQUE REPLACE DOJ REMULLA RESIGN,"President Ferdinand Marcos Jr. replaced. to current Justice Secretary Jesus Crispin ""Boying"" Remulla the lawyer Harry Roque.  ",News,"December 23, 2022"
INTENSE! PRES MARCOS STARTLED WITH FINDING AFTER LENLEN ADMITTED THAT NO CHEATING HAPPENED," In an interview with author Ninotchka Rosca in New York City on December 7, former vice president Leni Robredo said that no cheating happened in the May 2022 elections, where she ran for the presidency but lost to Ferdinand Marcos Jr.",News,"December 13, 2022"
Tagle's departure from the presidency of Caritas is related to the 2016 election,"Cardinal Luis Antonio Tagle was stripped of his presidency of Caritas Internationalis because of his support and funding of the leftist group during the 2016 elections. 

It was said in a video: ""The news that Cardinal Tagle was removed from Caritas International Leaders is resounding because of his support and giving funds to leftist groups."" ",News,"December 13, 2022"
Robredo did not released her SALN during her tenure as vice president,There are no records of Leni Robredo’s SALN during her time as vice president of the Philippines.,News,"November 30, 2022"
https://www.rappler.com/newsbreak/fact-check/page/110/,,,
